Day of the year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,P10,P90
2020-01-01,4.8,0,0,0,0,0,0,0,1.4,0,0,0,0.2,0,4.6,0.6,0,0,0,15.6,0,0,0.4,0,0,0,0,0,0.6,0,0.5,0,1.279333333
2020-01-02,4.8,0,0,0,0,0,0,0.6,1.8,0,0,0,0.2,0,6.8,0.6,0,0,0,16,0,0,0.4,5.2,0.4,0,0,0,0.6,0,1,0,3.817585716
2020-01-03,4.8,0,0,0,0.4,0,1.2,0.6,3.6,0,0,0,0.2,0,8,0.6,0,0,0,16.4,0,0,0.4,12.4,3,0,0,0,16,0,3.9,0,7.77988832
2020-01-04,19,0,0.8,0,0.8,0,1.2,0.6,3.6,0,0,0,0.2,0,8,0.6,4.2,0,0,16.4,0.8,0,0.4,24,3,27.2,0,0,16,0,6.2,0,15.02401432
2020-01-05,20.2,0,1.2,0,25.4,0,1.2,8.6,3.6,0,0.2,0,0.2,0,8,0.6,4.2,0,0,16.4,0.8,0.2,0.4,26.6,3.6,37.6,0,0,16,0.1,6.5,0,16.32
2020-01-06,20.2,0.2,1.2,0,36.8,0,1.2,8.6,3.6,0.6,2.2,0,0.6,0.2,8,0.6,4.2,0,0,16.4,1,0.2,0.4,26.6,3.6,40,0,0,16,0.2,13,0,16.88831827
2020-01-07,20.2,0.2,1.2,0,36.8,0,1.2,8.6,3.6,16.8,2.2,0,0.6,5.6,8,0.6,4.2,0,0,16.4,30,0.2,0.4,26.6,3.6,41.4,0,0,16,2.9,22.6,0,25.8
2020-01-08,20.2,0.2,1.2,0.4,36.8,0,1.2,9,3.6,16.8,3.2,0,0.8,5.6,8,0.6,4.2,0,0,73.2,30,0.2,0.6,26.6,3.6,41.4,5.4,0,18.2,2.9,60.1,0,35.57869014
2020-01-09,20.2,0.2,1.2,0.4,36.8,0,1.2,53.4,3.6,16.8,15.4,0,0.8,5.6,8,3.4,4.2,0,0,74.8,30,0.2,0.6,26.6,3.6,41.4,5.4,2,40.6,2.9,73.8,0.02,41.24
2020-01-10,20.2,0.2,2,0.4,36.8,4.6,1.2,56,3.6,29,20.6,0,1.4,5.6,12.4,3.4,4.2,0,1.4,74.8,30,8.4,0.6,26.6,3.6,41.4,5.4,2,42.6,2.9,109.4,0.42,43.38892013
2020-01-11,20.2,0.2,26,0.4,36.8,6.6,1.2,59.8,3.8,33.6,20.8,0,18.6,5.6,12.6,3.8,45.2,0.2,1.6,74.8,30,8.4,0.6,26.6,3.6,45.8,5.4,2,42.6,2.9,200,0.42,57
2020-01-12,20.2,3.6,26,0.4,36.8,6.6,1.2,60.4,63,48.2,20.8,0,18.6,5.6,32,3.8,82.4,15.4,1.6,74.8,30,8.4,0.6,26.6,3.6,45.8,5.4,2,43.2,2.9,213.6,1.24,69.97079705
2020-01-13,20.2,3.6,26,0.4,36.8,6.6,1.2,62.4,87.4,52.2,22.8,0,18.6,9.6,32.2,3.8,82.8,15.4,3.8,74.8,30,8.4,0.6,26.6,3.6,57.6,5.4,2,43.2,2.9,214.2,1.28,74.76046943
2020-01-14,21,3.6,26,3.4,36.8,6.6,1.2,62.4,89.2,52.2,27.6,0.8,18.6,9.6,32.2,3.8,87.6,15.4,3.8,74.8,30,8.4,0.6,26.6,3.6,57.6,6.2,8.8,43.8,6.3,214.2,3.42,75.31259102
2020-01-15,22.6,3.6,26,4.8,37.6,6.6,1.8,62.4,90.8,53.4,31,0.8,18.6,9.6,32.2,3.8,87.6,15.4,3.8,74.8,30,8.4,0.6,26.6,3.6,57.6,10.6,9.6,43.8,8.2,218.7,3.6,76.30926863
2020-01-16,22.6,3.6,26,10.4,46.2,6.6,11.4,62.4,90.8,53.4,31,1.2,18.6,9.6,32.2,3.8,87.6,26.6,3.8,74.8,30.8,8.4,0.6,26.6,3.6,57.6,17.4,9.8,43.8,8.2,219.8,3.62,77.22673799
2020-01-17,30.4,3.6,26,10.6,55.2,17,26.4,62.4,90.8,53.4,31,1.2,18.6,9.6,33,3.8,87.6,33.8,3.8,74.8,30.8,8.4,0.6,26.6,3.6,57.6,41.2,14.6,43.8,9.8,219.8,3.62,78.72175523
2020-01-18,30.4,3.6,26,10.6,55.2,17,33.8,62.4,90.8,53.4,31,1.2,18.6,9.6,33.4,3.8,87.6,33.8,3.8,74.8,30.8,10.6,0.6,26.6,3.6,57.6,41.2,15.6,43.8,9.8,219.8,3.62,78.9296975
2020-01-19,30.4,3.6,26,11.8,55.2,17,36.4,62.4,90.8,67.4,31,1.2,18.6,9.6,33.4,9.4,88.2,33.8,3.8,74.8,32.8,10.6,0.6,26.6,3.6,59.6,41.2,24.2,43.8,9.8,239.9,3.62,82.83728026
2020-01-20,30.4,3.6,27.8,12,62.2,17,36.4,62.4,90.8,72.2,31,26.4,20.4,39.6,33.4,22,94.8,33.8,3.8,74.8,32.8,10.6,0.6,27,3.6,59.6,41.2,28.6,44,9.8,242,4.4,85.08052405
2020-01-21,30.4,3.6,27.8,12.4,62.2,17,36.4,62.4,90.8,78.6,31,39.4,20.4,39.6,33.4,30,95.4,33.8,9.6,74.8,32.8,22.4,0.6,27,3.6,59.6,41.2,28.6,44,29.2,242.1,9.88,86.96640987
2020-01-22,30.4,3.6,27.8,13.4,62.2,17.2,41.6,62.4,90.8,78.8,31,64.4,20.4,39.6,33.4,30,95.4,37.2,26,74.8,32.8,26.2,43.8,27,4,59.6,41.2,28.6,44,29.9,243.1,17.52,88.4
2020-01-23,30.4,3.6,27.8,13.4,62.2,17.2,64.6,62.4,90.8,78.8,31,68,20.4,39.6,33.4,30,95.4,47.6,90.6,78.4,32.8,26.2,43.8,27,4,59.6,41.2,28.6,44,29.9,243.4,17.52,90.76
2020-01-24,30.4,3.6,27.8,13.4,62.2,17.2,69.6,62.4,90.8,78.8,31,68,20.4,39.8,33.4,33,95.4,48.2,99,78.4,32.8,26.2,43.8,27,4,60.8,41.2,28.6,44,29.9,243.4,17.52,94.48
2020-01-25,30.4,15.8,27.8,22.6,62.2,17.2,79.6,62.4,90.8,78.8,31,68,20.4,53.4,33.4,33,95.4,49,99,78.4,33.4,26.2,43.8,27,4,60.8,43.4,28.6,44,29.9,243.4,20.62,94.48
2020-01-26,30.4,22.6,27.8,22.8,62.2,17.2,80.2,64.2,90.8,79.4,34.6,68,20.6,59.4,41,33,95.4,52.6,99,78.4,33.4,26.2,43.8,27,4,60.8,43.4,28.6,44,47,243.5,22.62,94.48
2020-01-27,30.4,33.6,27.8,66,64.2,17.2,80.2,64.2,91.6,79.6,34.6,68,21.4,59.6,45.8,46.4,95.4,64.8,99,78.4,33.4,44,43.8,27,4,60.8,43.4,28.6,44,47,243.5,27.08,94.64
2020-01-28,31.2,39.8,47.8,103.2,64.2,17.2,80.2,64.2,91.8,79.6,35.2,74.8,21.4,59.8,45.8,52.2,96.2,65,99,88.8,33.4,44.6,77,69.2,4,60.8,43.4,28.6,44,47,244.4,29.08,98.44
2020-01-29,31.2,40,51.2,108,64.2,17.2,80.2,64.2,91.8,79.8,35.2,77.6,21.4,59.8,49.2,52.2,96.2,65.4,142.8,88.8,33.4,44.8,82.2,100.4,4,64.2,43.4,28.6,44,47,251.9,29.08,106.48
2020-01-30,31.2,40,51.2,109,64.2,17.2,80.2,64.2,91.8,80,35.2,82.4,22.2,59.8,49.6,52.2,96.2,71.8,142.8,88.8,33.6,44.8,83.2,100.4,4,64.2,43.4,28.6,44,47,251.9,29.1,107.28
2020-01-31,31.2,40,51.4,109,64.2,17.2,82.4,65,91.8,80,35.2,83.4,30,59.8,49.6,52.2,96.2,129.4,142.8,88.8,33.6,44.8,83.2,106.4,4,64.2,43.4,28.6,47.6,47,251.9,30.36,116.1180195
2020-02-01,38.4,40,51.4,109,65.8,17.2,82.4,65,110.8,80,35.2,87.6,52,59.8,49.6,52.2,96.2,171,142.8,88.8,33.6,45.4,84.4,106.6,4,64.2,43.4,28.6,48.4,47,252.6,33.76,120.7895435
2020-02-02,39,40.2,51.4,109,66.2,17.2,82.8,65,110.8,80,35.2,90.2,62.8,61.4,49.6,52.2,96.6,184.4,142.8,93,33.6,48,88,106.6,4,73.4,43.4,28.6,48.4,47,254.1,33.76,122.9533138
2020-02-03,41.2,40.2,61.6,109,66.6,17.2,82.8,70.4,110.8,92.6,35.2,95.6,64,62.6,49.6,57.8,96.6,184.4,142.8,93.2,33.6,48,88.4,106.6,4.8,84.2,45.4,28.6,48.4,47,254.6,33.76,124.3581665
2020-02-04,41.2,48.6,64.4,109,66.6,17.2,82.8,70.4,110.8,93.2,35.2,96.6,66,62.6,50,57.8,96.6,186.2,142.8,93.2,33.6,48,88.4,106.6,4.8,85.4,45.4,28.6,48.4,47,254.6,33.76,124.7731983
2020-02-05,41.2,53.8,64.4,109,67,17.2,82.8,70.4,110.8,93.2,36.2,127.6,69,70.2,51,68.2,98.8,186.2,142.8,93.2,34.2,48,88.6,106.6,4.8,85.4,45.4,28.6,48.4,47,254.6,34.4,130.0869414
2020-02-06,41.2,56,67.4,109,67,18,82.8,70.4,110.8,93.2,36.2,144.2,69,71.6,52,68.2,98.8,186.2,142.8,98,44.2,48,88.6,106.6,4.8,85.4,45.4,28.6,48.8,47,254.7,37,140.7019871
2020-02-07,41.2,56,68.2,109,67,18.6,82.8,70.4,112.6,93.2,36.2,144.6,69,84.2,53.4,68.2,98.8,186.2,142.8,109.8,44.2,53,88.6,108.4,4.8,88.6,54,28.8,48.8,103.7,254.7,37,141.3069108
2020-02-08,41.2,56,68.2,135.8,67,18.6,82.8,70.4,112.8,93.2,36.2,144.6,69,84.2,62.6,68.6,98.8,186.8,142.8,117.2,44.2,56.6,88.6,108.8,14,88.6,56.2,28.8,48.8,141.8,254.7,37,142.6
2020-02-09,41.2,56,71.2,171.2,67,18.6,85.2,70.4,112.8,93.2,36.2,145.8,69,93.2,62.8,68.6,98.8,187.6,142.8,122.8,44.2,73.4,88.6,108.8,50.4,104.4,56.4,28.8,48.8,142.2,254.7,44.66,145.4072399
2020-02-10,41.2,56,81.6,171.8,67,18.6,85.2,70.4,112.8,93.4,36.2,145.8,70,98.4,62.8,68.6,99.2,187.6,142.8,122.8,44.2,74,89.8,108.8,50.8,133.2,56.4,28.8,48.8,142.2,277.6,44.66,148.4881187
2020-02-11,47.2,56,107.4,171.8,67,23.2,85.2,70.4,112.8,94.6,36.2,145.8,70,104.4,66.8,68.6,99.6,187.6,142.8,122.8,44.2,74,90.4,108.8,50.8,138,67,28.8,48.8,142.2,277.6,44.66,149.7063097
2020-02-12,74.4,56,135.8,171.8,67,23.2,85.4,70.4,123.4,94.6,36.2,145.8,74.2,105.6,66.8,68.6,99.6,187.6,142.8,125.2,44.2,74.2,91.2,108.8,50.8,138,67,28.8,49.4,145.5,278.6,44.72,151.7025621
2020-02-13,75.6,56,158.8,171.8,67,23.2,85.4,70.4,136,106.8,36.2,153.6,74.2,105.6,72.4,84.8,105.4,187.6,142.8,125.2,44.2,74.2,93.8,108.8,50.8,158.8,67,28.8,49.4,145.5,313.1,44.72,162.3688398
2020-02-14,75.6,56,163,171.8,67,23.2,85.4,70.4,136,130,36.2,157.4,74.2,105.6,72.4,84.8,107,187.6,142.8,135,44.2,74.2,93.8,108.8,50.8,158.8,67,28.8,49.4,147,313.1,44.72,164.8842235
2020-02-15,76.6,57.2,164.4,171.8,67,23.2,85.4,70.4,136,134.2,37.2,157.4,74.2,105.6,72.4,84.8,107,187.6,142.8,135.2,44.2,74.2,96.8,108.8,50.8,159,67,28.8,49.4,155.1,313.1,44.72,165.8738915
2020-02-16,76.6,57.2,165,173.8,67,23.2,85.4,70.4,136,137.8,37.2,158,74.2,105.6,73.2,84.8,107,193,145.8,148.4,44.2,74.2,99.4,108.8,50.8,159,67,28.8,61,155.4,313.1,44.86,167.486556
2020-02-17,77,57.6,165,173.8,67,23.2,85.4,87.4,142.6,144.2,37.2,159.4,74.2,105.6,76,84.8,111.8,193.2,147.6,148.4,44.2,74.2,99.6,108.8,80,159,67,28.8,115.6,155.4,313.1,45.54,169.7094842
2020-02-18,82,63,165,173.8,67,23.2,85.4,87.4,208.8,144.4,37.2,159.4,74.2,105.6,76.4,84.8,111.8,193.4,149,148.6,45.4,74.2,99.6,110.6,89.6,159,67,28.8,116.6,155.4,313.1,47.16,175.4458763
2020-02-19,137.2,69.4,165,175,72.2,27.6,85.4,93.6,211.2,144.4,37.2,159.4,74.2,105.6,76.4,89.6,112.2,193.4,149,148.6,45.4,74.2,99.6,110.6,111.2,159,67,28.8,116.6,155.4,313.1,47.56,176.5354872
2020-02-20,177,69.4,165,177.2,100.4,27.6,85.4,93.6,211.4,147,37.2,169.6,74.2,105.6,76.4,89.6,112.2,193.4,152,170.6,45.4,74.2,99.6,118.2,112.4,159,67,28.8,116.6,155.4,313.1,47.56,179.4185792
2020-02-21,180.6,79.6,165.4,178.8,100.4,27.6,85.4,93.6,211.4,148.8,37.2,169.6,74.2,105.6,76.4,89.6,114.2,193.4,168.4,170.8,45.4,74.2,99.6,118.2,112.4,159,68,28.8,116.6,185,313.1,47.66,184.6188141
2020-02-22,203,83.6,168.2,191,100.4,31.4,85.4,93.6,211.4,148.8,38.6,169.6,74.4,105.6,76.4,89.6,114.2,193.4,168.4,170.8,45.4,74.2,99.6,118.2,112.4,159,68,28.8,116.6,185.9,313.1,47.66,189.98
2020-02-23,256.8,86.2,168.4,205,100.4,31.4,85.4,95.2,211.4,148.8,38.6,169.6,74.4,105.6,76.4,91.4,114.2,193.4,168.4,173.2,46,74.2,102.4,118.2,112.4,162.2,75.2,33.6,116.6,185.9,331.1,48.82,192.350061
2020-02-24,261.8,86.2,168.4,210.4,100.4,34.2,89.8,95.4,217.2,148.8,39.2,169.8,74.4,105.6,87.8,93,114.2,193.4,183.6,174.2,47,74.2,102.8,118.2,113.4,162.2,79,56.6,116.6,188.1,378,58.36,196.4807704
2020-02-25,264,86.2,168.4,210.4,100.4,52.4,89.8,95.4,217.2,148.8,48.6,169.8,83.8,105.6,87.8,93,123.8,193.4,225.6,174.2,47,74.2,102.8,118.2,113.4,162.2,119.6,57.4,116.6,188.6,410.1,59.08,209.5613963
2020-02-26,264,86.2,170,210.4,100.4,52.4,89.8,95.4,217.2,148.8,55.6,169.8,83.8,105.6,87.8,93,125.2,193.8,225.6,174.2,47,74.2,108,118.2,113.4,162.2,126.2,57.4,116.6,188.6,410.3,59.08,209.6490259
2020-02-27,264.2,86.2,173.2,220.8,100.4,52.4,89.8,95.4,218,148.8,70,169.8,83.8,105.6,87.8,93,125.2,193.8,228.6,174.2,47,75.4,108,118.2,113.4,162.4,126.2,61.6,116.6,189.9,411.7,70.54,216.0304505
2020-02-28,264.2,87.6,173.2,260.4,101.4,52.4,89.8,95.4,223.2,148.8,111.4,170,83.8,105.6,90.2,93,125.8,193.8,229,175,47.4,75.4,108,119.6,113.4,162.4,126.2,61.6,116.6,191.2,493.5,76.24,225.6859439
2020-02-29,264.2,91,173.2,260.4,101.4,52.4,89.8,95.4,223.2,148.8,123,175.6,87.6,105.6,90.4,93,143.8,193.8,229,177.5,49,75.4,108,119.6,113.4,162.4,126.6,61.6,116.6,191.2,493.5,76.62,226.7152725
2020-03-01,264.2,91,173.2,260.4,105.2,52.4,89.8,95.4,223.2,148.8,124.6,213.6,87.6,106.2,90.4,93,144,193.8,229,179.3,51.8,75.4,108,156.6,113.4,162.4,126.6,61.6,116.6,191.5,493.5,76.62,227.84
2020-03-02,264.2,91,173.2,260.4,105.8,52.6,89.8,145.4,223.2,149,124.6,213.6,87.6,106.6,90.4,93,144,194.8,229.2,179.3,51.8,75.4,108,163,113.4,162.4,126.6,61.6,116.6,191.6,493.5,76.62,228
2020-03-03,264.2,91,173.2,260.4,114.8,58.2,93.8,177.2,237.2,149,125.8,214.2,87.6,108.4,90.4,93,147.6,194.8,229.2,186.5,52.8,75.4,108,164.6,113.4,162.4,126.6,61.6,116.6,191.6,493.5,76.62,234.1779748
2020-03-04,299,91,173.4,260.4,115,58.8,95.6,177.2,252,149.4,125.8,232.6,87.6,109.4,90.4,126.6,147.6,194.8,229.6,191.3,63.2,75.8,108,164.6,113.4,164.4,126.6,61.6,116.6,191.6,495.2,76.98,237.5705001
2020-03-05,326.6,91,173.4,264,115,58.8,97.6,177.2,252,149.6,125.8,233,87.6,109.4,90.4,170.6,147.6,194.8,248.2,191.3,63.2,94,108,164.6,113.4,165.4,126.6,76.6,116.6,191.6,496.6,87.88,246.9808024
2020-03-06,327.2,91,173.4,268,128.6,58.8,121.6,178.4,252,149.6,125.8,233.2,87.6,109.4,90.4,170.6,158.2,197.8,253.4,191.3,63.2,95,108,164.6,113.4,165.4,126.6,78.6,116.6,191.6,496.9,87.88,250.3956717
2020-03-07,327.2,91,173.4,276.2,130.6,58.8,132.4,178.4,252,149.6,136.4,233.2,87.6,112.6,90.4,170.6,165.2,197.8,257,191.5,63.2,95,110,164.6,150.4,166.8,126.6,80.6,116.6,191.6,496.9,87.88,250.9092138
2020-03-08,328,91,173.4,277.6,146.4,58.8,132.4,186.4,258.4,149.6,138.6,233.2,87.6,112.6,90.4,170.6,165.2,198.2,257.2,194.9,63.2,95,110,164.6,170.8,192.6,161.6,80.6,116.6,193.2,496.9,87.88,255.8971325
2020-03-09,328,94,173.4,279,148,58.8,132.4,186.6,279.2,149.6,139.2,233.2,87.6,112.8,90.4,170.6,165.2,198.2,257.2,197.9,63.2,96,110,165.8,174.6,196.2,164.4,80.6,116.6,193.2,496.9,87.88,256.3583166
2020-03-10,328,97.8,176.2,279,148,58.8,132.4,186.8,285.8,150.2,141,233.2,87.6,112.8,90.4,171,165.2,198.2,257.2,198.7,63.4,96,110,166,186.6,196.2,171.8,82.4,116.6,193.2,507.7,87.88,257.010455
2020-03-11,328,98.8,176.4,284.8,256.6,71.4,138.2,189.4,287.2,150.4,191.4,233.2,96.6,112.8,90.4,171,166.6,203,257.2,199.1,63.4,96,110.6,166,203.4,196.2,171.8,83.6,116.6,193.2,507.7,90.96,262.9408823
2020-03-12,341,98.8,186.8,290.4,272.2,71.4,145,189.4,287.2,150.4,224.2,233.2,96.6,125.6,91.4,171,166.6,211,257.2,201.1,63.4,96,110.8,166,214.4,236.4,171.8,83.6,116.6,193.2,507.7,91.86,271.9173519
